vintage_year,census_tract,pop_total,low_access_pop,low_access_pop_share,low_income_low_access_pop,lila_flag,snap_housing_units,source_url,note
2015,06073008361,2642,0,0.0,0,0,14,https://www.ers.usda.gov/data-products/food-access-research-atlas/download-the-data,FARA 2015 (FoodAccessResearchAtlasData2015.xlsx)
2015,06073008362,3141,1.17838382720947,0.037516,0.496630042791367,0,0,https://www.ers.usda.gov/data-products/food-access-research-atlas/download-the-data,FARA 2015 (FoodAccessResearchAtlasData2015.xlsx)
2019,06073008006,3805,,,,0,11,https://www.ers.usda.gov/data-products/food-access-research-atlas/download-the-data,FARA 2019 (FoodAccessResearchAtlasData2019.xlsx)
2019,06073008101,4009,47.7257841825485,1.190466,8.26164788007736,0,0,https://www.ers.usda.gov/data-products/food-access-research-atlas/download-the-data,FARA 2019 (FoodAccessResearchAtlasData2019.xlsx)
2019,06073008102,3395,1232.81119537074,36.312554,150.608415120456,0,10,https://www.ers.usda.gov/data-products/food-access-research-atlas/download-the-data,FARA 2019 (FoodAccessResearchAtlasData2019.xlsx)
2019,06073008200,3022,,,,0,0,https://www.ers.usda.gov/data-products/food-access-research-atlas/download-the-data,FARA 2019 (FoodAccessResearchAtlasData2019.xlsx)
2019,06073008301,3094,2468.34616154432,79.77848,167.743196318857,0,8,https://www.ers.usda.gov/data-products/food-access-research-atlas/download-the-data,FARA 2019 (FoodAccessResearchAtlasData2019.xlsx)
2019,06073008303,3446,1757.16003164835,50.991295,330.125884589041,0,0,https://www.ers.usda.gov/data-products/food-access-research-atlas/download-the-data,FARA 2019 (FoodAccessResearchAtlasData2019.xlsx)
2019,06073008305,10482,,,,0,106,https://www.ers.usda.gov/data-products/food-access-research-atlas/download-the-data,FARA 2019 (FoodAccessResearchAtlasData2019.xlsx)
2019,06073008310,5392,3274.43758863019,60.7277,450.516265033672,0,0,https://www.ers.usda.gov/data-products/food-access-research-atlas/download-the-data,FARA 2019 (FoodAccessResearchAtlasData2019.xlsx)
2019,06073008311,2884,1179.29121025652,40.890819,110.167756772367,0,10,https://www.ers.usda.gov/data-products/food-access-research-atlas/download-the-data,FARA 2019 (FoodAccessResearchAtlasData2019.xlsx)
2019,06073008312,3629,2440.78900763764,67.257895,414.543681089766,0,19,https://www.ers.usda.gov/data-products/food-access-research-atlas/download-the-data,FARA 2019 (FoodAccessResearchAtlasData2019.xlsx)
2019,06073008313,2225,861.908536581323,38.737462,62.0899821091443,0,2,https://www.ers.usda.gov/data-products/food-access-research-atlas/download-the-data,FARA 2019 (FoodAccessResearchAtlasData2019.xlsx)
2019,06073008341,7614,,,,0,27,https://www.ers.usda.gov/data-products/food-access-research-atlas/download-the-data,FARA 2019 (FoodAccessResearchAtlasData2019.xlsx)
2019,06073008361,2642,,,,0,32,https://www.ers.usda.gov/data-products/food-access-research-atlas/download-the-data,FARA 2019 (FoodAccessResearchAtlasData2019.xlsx)
2019,06073008362,3141,1.50432080030441,0.047893,0.469323210418224,0,55,https://www.ers.usda.gov/data-products/food-access-research-atlas/download-the-data,FARA 2019 (FoodAccessResearchAtlasData2019.xlsx)
