obs_month,neighborhood,signal_type,metric,value,is_imputed,source_id
2021-05-01,columbia,activity_proxy,paid_sessions,23048.0,false,J
2021-05-01,columbia,activity_proxy,parking_meters_reporting,117.0,false,J
2021-05-01,columbia,activity_proxy,parking_revenue_usd,33388.37000000001,false,J
2021-05-01,cortez,activity_proxy,paid_sessions,34708.0,false,J
2021-05-01,cortez,activity_proxy,parking_meters_reporting,423.0,false,J
2021-05-01,cortez,activity_proxy,parking_revenue_usd,40460.50000000006,false,J
2021-05-01,east_village,activity_proxy,paid_sessions,85664.0,false,J
2021-05-01,east_village,activity_proxy,parking_meters_reporting,808.0,false,J
2021-05-01,east_village,activity_proxy,parking_revenue_usd,138581.67999999976,false,J
2021-05-01,gaslamp,activity_proxy,paid_sessions,30225.0,false,J
2021-05-01,gaslamp,activity_proxy,parking_meters_reporting,202.0,false,J
2021-05-01,gaslamp,activity_proxy,parking_revenue_usd,42958.37999999997,false,J
2021-05-01,marina,activity_proxy,paid_sessions,46532.0,false,J
2021-05-01,marina,activity_proxy,parking_meters_reporting,203.0,false,J
2021-05-01,marina,activity_proxy,parking_revenue_usd,93527.42999999993,false,J
2021-06-01,city_center,activity_proxy,paid_sessions,48910.0,false,J
2021-06-01,city_center,activity_proxy,parking_meters_reporting,314.0,false,J
2021-06-01,city_center,activity_proxy,parking_revenue_usd,60924.57999999994,false,J
2021-06-01,columbia,activity_proxy,paid_sessions,24464.0,false,J
2021-06-01,columbia,activity_proxy,parking_meters_reporting,117.0,false,J
2021-06-01,columbia,activity_proxy,parking_revenue_usd,35734.52999999999,false,J
2021-06-01,cortez,activity_proxy,paid_sessions,37413.0,false,J
2021-06-01,cortez,activity_proxy,parking_meters_reporting,423.0,false,J
2021-06-01,cortez,activity_proxy,parking_revenue_usd,44145.62999999999,false,J
2021-06-01,east_village,activity_proxy,paid_sessions,91842.0,false,J
2021-06-01,east_village,activity_proxy,parking_meters_reporting,799.0,false,J
2021-06-01,east_village,activity_proxy,parking_revenue_usd,146768.30999999968,false,J
2021-06-01,gaslamp,activity_proxy,paid_sessions,32396.0,false,J
2021-06-01,gaslamp,activity_proxy,parking_meters_reporting,199.0,false,J
2021-06-01,gaslamp,activity_proxy,parking_revenue_usd,45787.00000000002,false,J
2021-06-01,marina,activity_proxy,paid_sessions,50842.0,false,J
2021-06-01,marina,activity_proxy,parking_meters_reporting,201.0,false,J
2021-06-01,marina,activity_proxy,parking_revenue_usd,104170.43999999992,false,J
2021-07-01,city_center,activity_proxy,paid_sessions,51168.0,false,J
