obs_month,neighborhood,signal_type,metric,value,is_imputed,source_id
2014-09-01,gaslamp,observation,observed_individuals,18.0,true,A
2014-09-01,gaslamp,observation,observed_total_units,18.0,true,A
2014-09-01,marina,observation,observed_individuals,34.0,true,A
2014-09-01,marina,observation,observed_structures,1.0,true,A
2014-09-01,marina,observation,observed_total_units,35.0,true,A
2014-10-01,core,observation,observed_individuals,120.0,false,A
2014-10-01,core,observation,observed_total_units,120.0,false,A
2014-10-01,cortez,observation,observed_individuals,30.0,false,A
2014-10-01,cortez,observation,observed_total_units,30.0,false,A
2014-10-01,east_village,observation,observed_individuals,438.0,false,A
2014-10-01,east_village,observation,observed_total_units,439.0,false,A
2014-10-01,east_village,observation,observed_vehicles,1.0,false,A
2014-10-01,gaslamp,observation,observed_individuals,16.0,false,A
2014-10-01,gaslamp,observation,observed_total_units,16.0,false,A
2014-10-01,marina,observation,observed_individuals,49.0,false,A
2014-10-01,marina,observation,observed_total_units,49.0,false,A
2014-11-01,core,observation,observed_individuals,133.0,false,A
2014-11-01,core,observation,observed_total_units,133.0,false,A
2014-11-01,cortez,observation,observed_individuals,33.0,false,A
2014-11-01,cortez,observation,observed_total_units,33.0,false,A
2014-11-01,east_village,observation,observed_individuals,316.0,false,A
2014-11-01,east_village,observation,observed_total_units,316.0,false,A
2014-11-01,gaslamp,observation,observed_individuals,15.0,false,A
2014-11-01,gaslamp,observation,observed_total_units,15.0,false,A
2014-11-01,marina,observation,observed_individuals,18.0,false,A
2014-11-01,marina,observation,observed_total_units,18.0,false,A
2014-12-01,core,observation,observed_individuals,173.0,false,A
2014-12-01,core,observation,observed_total_units,173.0,false,A
2014-12-01,cortez,observation,observed_individuals,27.0,false,A
2014-12-01,cortez,observation,observed_total_units,27.0,false,A
2014-12-01,east_village,observation,observed_individuals,313.0,false,A
2014-12-01,east_village,observation,observed_total_units,313.0,false,A
2014-12-01,gaslamp,observation,observed_individuals,16.0,false,A
2014-12-01,gaslamp,observation,observed_total_units,16.0,false,A
2014-12-01,marina,observation,observed_individuals,15.0,false,A
2014-12-01,marina,observation,observed_total_units,15.0,false,A
2015-01-01,core,observation,observed_individuals,177.0,false,A
2015-01-01,core,observation,observed_total_units,177.0,false,A
2015-01-01,cortez,observation,observed_individuals,47.0,false,A
2015-01-01,cortez,observation,observed_total_units,47.0,false,A
2015-01-01,east_village,observation,observed_individuals,413.0,false,A
2015-01-01,east_village,observation,observed_total_units,413.0,false,A
2015-01-01,gaslamp,observation,observed_individuals,19.0,false,A
2015-01-01,gaslamp,observation,observed_total_units,19.0,false,A
2015-01-01,marina,observation,observed_individuals,22.0,false,A
2015-01-01,marina,observation,observed_total_units,22.0,false,A
2015-02-01,core,observation,observed_individuals,188.0,false,A
2015-02-01,core,observation,observed_total_units,188.0,false,A
2015-02-01,cortez,observation,observed_individuals,31.0,false,A
2015-02-01,cortez,observation,observed_total_units,31.0,false,A
2015-02-01,east_village,observation,observed_individuals,468.0,false,A
2015-02-01,east_village,observation,observed_total_units,468.0,false,A
2015-02-01,gaslamp,observation,observed_individuals,23.0,false,A
2015-02-01,gaslamp,observation,observed_total_units,23.0,false,A
2015-02-01,marina,observation,observed_individuals,20.0,false,A
2015-02-01,marina,observation,observed_total_units,20.0,false,A
2015-03-01,core,observation,observed_individuals,174.0,false,A
2015-03-01,core,observation,observed_total_units,174.0,false,A
2015-03-01,cortez,observation,observed_individuals,59.0,false,A
2015-03-01,cortez,observation,observed_total_units,59.0,false,A
2015-03-01,east_village,observation,observed_individuals,462.0,false,A
2015-03-01,east_village,observation,observed_total_units,462.0,false,A
2015-03-01,gaslamp,observation,observed_individuals,22.0,false,A
2015-03-01,gaslamp,observation,observed_total_units,22.0,false,A
2015-03-01,marina,observation,observed_individuals,15.0,false,A
2015-03-01,marina,observation,observed_total_units,15.0,false,A
2015-04-01,core,observation,observed_individuals,196.0,false,A
2015-04-01,core,observation,observed_total_units,196.0,false,A
2015-04-01,cortez,observation,observed_individuals,40.0,false,A
2015-04-01,cortez,observation,observed_total_units,40.0,false,A
2015-04-01,east_village,observation,observed_individuals,424.0,false,A
