series,scope,term,estimate,ci_lo,ci_hi,p_value,pre_mean,placebo_estimate,placebo_ci_lo,placebo_ci_hi
dsdp_adjusted_total,downtown,post,-420.7560966302167,-605.7945162479413,-235.71767701249215,8.3218218272263e-06,1048.774193548387,83.20178180681431,-52.19460122175387,218.59816483538248
dsdp_adjusted_total,downtown,post_t,-41.59552005344824,-52.69671430925886,-30.49432579763762,2.0750555150856983e-13,1048.774193548387,-29.11050328227262,-43.903674874634,-14.317331689911242
dsdp_adjusted_total,downtown,effect_12m,-919.9023372715956,-1036.3013772805177,-803.5032972626734,,1048.774193548387,-266.12425758045714,-449.2681853488847,-82.98032981202957
gid_requests,downtown,post,302.60632413169515,52.04083388614461,553.1718143772457,0.017931196070990103,551.258064516129,-203.10464207564877,-470.7242280960119,64.51494394471439
gid_requests,downtown,post_t,-29.781102069037953,-41.47341535857121,-18.088788779504696,5.970805712223921e-07,551.258064516129,-8.777899343542874,-39.75972260967542,22.203923922589677
gid_requests,downtown,effect_12m,-54.766900696760274,-274.77506251385034,165.24126112032982,,551.258064516129,-308.43943419816327,-757.7927570941376,140.9138886978111
dsdp_adjusted_total,east_village,post,-267.6635365144334,-446.8038551423487,-88.52321788651813,0.0034061119983052617,642.8387096774194,62.39832760237583,-59.70998799832172,184.5066432030734
dsdp_adjusted_total,east_village,post_t,-27.840057279889944,-39.412841638511054,-16.26727292126883,2.417280501168312e-06,642.8387096774194,-13.29540481400252,-27.832194253986096,1.2413846259810573
dsdp_adjusted_total,east_village,effect_12m,-601.7442238731128,-690.1092858646774,-513.3791618815482,,642.8387096774194,-97.1465301656544,-277.7370857409589,83.44402540965011
dsdp_adjusted_total,city_center,post,-103.19587334705908,-144.45708020950684,-61.934666484611306,9.489207388213613e-07,211.38709677419354,43.86472335104705,11.769908626808949,75.95953807528514
dsdp_adjusted_total,city_center,post_t,-7.887222733438556,-10.408319438246373,-5.366126028630738,8.693110329850254e-10,211.38709677419354,-10.623632385119787,-16.40151990899492,-4.845744861244656
dsdp_adjusted_total,city_center,effect_12m,-197.84254614832173,-250.74954947201024,-144.93554282463322,,211.38709677419354,-83.6188652703904,-154.3172155298721,-12.920515010908701
dsdp_adjusted_total,columbia,post,-3.578840411454776,-16.523342794196985,9.365661971287432,0.587899506259567,49.806451612903224,-34.748749609252876,-51.837752106424475,-17.659747112081277
dsdp_adjusted_total,columbia,post_t,0.7826896772818763,-0.15469730761734823,1.7200766621811008,0.10173280444274063,49.806451612903224,-0.13894967177212447,-2.073229747662989,1.7953304041187401
dsdp_adjusted_total,columbia,effect_12m,5.81343571592774,-14.421377510642005,26.048248942497487,,49.806451612903224,-36.41614567051837,-55.13999413582772,-17.69229720520902
dsdp_adjusted_total,marina,post,-13.915130550860003,-20.87522001309996,-6.955041088620046,8.909938439091067e-05,28.516129032258064,-9.10550171928729,-21.663970036108815,3.4529665975342336
dsdp_adjusted_total,marina,post_t,-0.22263816063176037,-0.6890672797377949,0.2437909584742742,0.3495104344768234,28.516129032258064,-0.588621444201201,-2.172572516744632,0.9953296283422302
dsdp_adjusted_total,marina,effect_12m,-16.58678847844113,-26.48335006161435,-6.690226895267909,,28.516129032258064,-16.1689590497017,-34.80680255104119,2.4688844516377877
dsdp_adjusted_total,cortez,post,-25.068306036370554,-48.47961175918215,-1.6570003135589566,0.03584459931883052,70.7741935483871,20.381759924976528,3.014814243283091,37.748705606669965
dsdp_adjusted_total,cortez,post_t,-5.281440836664162,-6.797413975987619,-3.7654676973407044,8.596055814460305e-12,70.7741935483871,-1.829321663019578,-3.9762538754975494,0.3176105494583932
dsdp_adjusted_total,cortez,effect_12m,-88.4455960763405,-106.28675561681375,-70.60443653586724,,70.7741935483871,-1.5701000312584092,-29.562658757528627,26.42245869501181
dsdp_adjusted_total,gaslamp,post,-7.334409770039067,-27.940112085876567,13.271292545798435,0.48540792020635315,45.45161290322581,0.4112222569552615,-11.492514446334546,12.314958960245068
dsdp_adjusted_total,gaslamp,post_t,-1.1468507201056952,-2.171040806697092,-0.12266063351429835,0.028185396389303546,45.45161290322581,-2.634573304157408,-4.213125005872436,-1.0560216024423805
dsdp_adjusted_total,gaslamp,effect_12m,-21.09661841130741,-45.82637145448584,3.6331346318710125,,45.45161290322581,-31.203657392933636,-51.26213894029222,-11.145175845575054
