obs_month,neighborhood,value,lo80,hi80,horizon,kind
2026-01-01,city_center,173.59817684941942,116.62697879618163,232.67560393926314,1,nowcast
2026-01-01,columbia,34.02766449587514,22.598175097151767,45.87970288896363,1,nowcast
2026-01-01,cortez,67.9894928586926,45.47829524959752,91.33293096251528,1,nowcast
2026-01-01,east_village,526.7346963057525,354.535430280597,705.300180816352,1,nowcast
2026-01-01,gaslamp,46.30721129093643,30.870918928463983,62.31418442373416,1,nowcast
2026-01-01,marina,16.26579106846449,10.631981940230254,22.107882500354936,1,nowcast
2026-02-01,city_center,171.96627779126408,114.9163238114862,230.5562632814811,2,nowcast
2026-02-01,columbia,33.95141742656236,22.423293094027883,45.79073700974783,2,nowcast
2026-02-01,cortez,66.39713846600797,44.16735068914069,89.22700689603205,2,nowcast
2026-02-01,east_village,524.0287441424068,350.85703649005137,701.875124917123,2,nowcast
2026-02-01,gaslamp,45.83371459116593,30.386418758434456,61.69800151107539,2,nowcast
2026-02-01,marina,16.40313183618218,10.663007905456384,22.298207192991114,2,nowcast
2026-03-01,city_center,167.48697642695333,103.65296965942065,229.36076820177476,3,nowcast
2026-03-01,columbia,33.64307452397383,20.5179873480506,46.36511645856383,3,nowcast
2026-03-01,cortez,62.50762345047246,38.446736662080575,85.82964840942765,3,nowcast
2026-03-01,east_village,513.1378390494177,318.3484316227026,701.945652398078,3,nowcast
2026-03-01,gaslamp,45.493738650751496,27.87883635611226,62.56772243938433,3,nowcast
2026-03-01,marina,17.482649299675266,10.480199700914083,24.270067641833922,3,nowcast
2026-04-01,city_center,167.82079286434748,98.0690536321027,226.55039832726607,4,nowcast
2026-04-01,columbia,33.4016000998191,19.18788034041318,45.36927521184707,4,nowcast
2026-04-01,cortez,62.38150618648319,36.19414966092257,84.4307501736781,4,nowcast
2026-04-01,east_village,507.7186405537355,297.5312024044627,684.692368401111,4,nowcast
2026-04-01,gaslamp,44.3314579454499,25.601845437533218,60.10142676874763,4,nowcast
2026-04-01,marina,17.044078272523087,9.58880086861602,23.321276595710813,4,nowcast
2026-05-01,city_center,165.11856619921898,94.5407117693543,216.31565005723337,5,nowcast
2026-05-01,columbia,32.996008016761415,18.552316622711928,43.47344297839334,5,nowcast
2026-05-01,cortez,61.065135537888914,34.69587289984226,80.193364377654,5,nowcast
2026-05-01,east_village,499.15672903943226,286.6579721459461,653.30305105905,5,nowcast
2026-05-01,gaslamp,42.99007760298631,24.300262463968963,56.54764520960606,5,nowcast
2026-05-01,marina,16.57673349500126,9.109006278556276,21.9938131103789,5,nowcast
2026-06-01,city_center,162.72138162642054,91.32232552769939,217.24590059538326,6,nowcast
2026-06-01,columbia,33.03880783903098,18.194450148609636,44.37483252476831,6,nowcast
2026-06-01,cortez,58.82408642765295,32.7347432980599,78.74744343100629,6,nowcast
2026-06-01,east_village,493.88615342369224,278.0658135281704,658.699259639702,6,nowcast
2026-06-01,gaslamp,43.07636227652846,23.854617190170327,57.75521745815142,6,nowcast
2026-06-01,marina,17.22069613795318,9.27463257076464,23.288777669713316,6,nowcast
2026-07-01,city_center,160.9699667047503,89.54841423978083,219.37478986625888,7,nowcast
2026-07-01,columbia,33.229390079334706,18.135751245343318,45.57218124724327,7,nowcast
2026-07-01,cortez,57.48636585852783,31.696479420724806,78.57599083544294,7,nowcast
2026-07-01,east_village,489.3216391594007,273.11160103690776,666.1269396109809,7,nowcast
2026-07-01,gaslamp,43.384079791902586,23.812674376692396,59.388555091682505,7,nowcast
2026-07-01,marina,17.817875862665108,9.520029443677098,24.603422185815294,7,nowcast
2026-08-01,city_center,163.94340545287002,93.96852904583339,217.1542751917692,8,nowcast
2026-08-01,columbia,33.488553870338315,18.857279052722646,44.61458793298501,8,nowcast
2026-08-01,cortez,56.639551913183965,32.18679789002008,75.23411578944219,8,nowcast
2026-08-01,east_village,496.7619721223257,285.5935875254955,657.3403680082206,8,nowcast
2026-08-01,gaslamp,43.47769560057305,24.60867053118831,57.82623448511032,8,nowcast
2026-08-01,marina,18.46735069112824,10.208606094192097,24.74753302968846,8,nowcast
2026-09-01,city_center,166.2092874298357,96.01542446947371,214.50867708796696,9,forecast
2026-09-01,columbia,34.602884233923255,19.656920314554743,44.88698749756032,9,forecast
2026-09-01,cortez,58.11693041620557,33.29985370918554,75.19320471564058,9,forecast
2026-09-01,east_village,500.2231466480443,289.8114559509134,645.0044111204919,9,forecast
2026-09-01,gaslamp,43.846737759667825,25.020237073559912,56.80098267778668,9,forecast
2026-09-01,marina,18.405300386328555,10.2590244410155,24.010635946326463,9,forecast
2026-10-01,city_center,171.4215434305398,98.88071739612575,221.17123746312362,10,forecast
2026-10-01,columbia,35.74783315574678,20.28736273508507,46.35087857272121,10,forecast
2026-10-01,cortez,59.06474494005925,33.79443285023869,76.39554144877357,10,forecast
2026-10-01,east_village,515.8533356256637,298.4038965418988,664.9837447120187,10,forecast
2026-10-01,gaslamp,45.4615877423223,25.914367095522902,58.86739381770841,10,forecast
2026-10-01,marina,19.81555983786803,11.058081654081697,25.8215827074409,10,forecast
