obs_date,neighborhood,signal_type,metric,value,source_id
2021-01-05,gaslamp,activity_proxy,parking_meters_reporting,2.0,J
2021-01-05,gaslamp,activity_proxy,parking_revenue_usd,5.25,J
2021-01-06,columbia,activity_proxy,paid_sessions,1.0,J
2021-01-06,columbia,activity_proxy,parking_meters_reporting,1.0,J
2021-01-06,columbia,activity_proxy,parking_revenue_usd,2.5,J
2021-01-06,cortez,activity_proxy,paid_sessions,2.0,J
2021-01-06,cortez,activity_proxy,parking_meters_reporting,2.0,J
2021-01-06,cortez,activity_proxy,parking_revenue_usd,5.0,J
2021-01-06,east_village,activity_proxy,paid_sessions,10.0,J
2021-01-06,east_village,activity_proxy,parking_meters_reporting,2.0,J
2021-01-06,east_village,activity_proxy,parking_revenue_usd,5.8,J
2021-01-06,gaslamp,activity_proxy,paid_sessions,1.0,J
2021-01-06,gaslamp,activity_proxy,parking_meters_reporting,1.0,J
2021-01-06,gaslamp,activity_proxy,parking_revenue_usd,0.5,J
2021-01-06,marina,activity_proxy,paid_sessions,5.0,J
2021-01-06,marina,activity_proxy,parking_meters_reporting,1.0,J
2021-01-06,marina,activity_proxy,parking_revenue_usd,10.25,J
2021-01-07,east_village,activity_proxy,paid_sessions,8.0,J
2021-01-07,east_village,activity_proxy,parking_meters_reporting,4.0,J
2021-01-07,east_village,activity_proxy,parking_revenue_usd,12.5,J
2021-01-07,marina,activity_proxy,paid_sessions,10.0,J
2021-01-07,marina,activity_proxy,parking_meters_reporting,3.0,J
2021-01-07,marina,activity_proxy,parking_revenue_usd,16.85,J
2021-01-08,cortez,activity_proxy,paid_sessions,1.0,J
2021-01-08,cortez,activity_proxy,parking_meters_reporting,1.0,J
2021-01-08,cortez,activity_proxy,parking_revenue_usd,0.3,J
2021-01-08,east_village,activity_proxy,paid_sessions,3.0,J
2021-01-08,east_village,activity_proxy,parking_meters_reporting,2.0,J
2021-01-08,east_village,activity_proxy,parking_revenue_usd,4.0,J
2021-01-08,gaslamp,activity_proxy,paid_sessions,1.0,J
2021-01-08,gaslamp,activity_proxy,parking_meters_reporting,1.0,J
2021-01-08,gaslamp,activity_proxy,parking_revenue_usd,1.25,J
2021-01-09,cortez,activity_proxy,paid_sessions,1.0,J
2021-01-09,cortez,activity_proxy,parking_meters_reporting,1.0,J
2021-01-09,cortez,activity_proxy,parking_revenue_usd,2.5,J
2021-01-09,marina,activity_proxy,paid_sessions,1.0,J
2021-01-09,marina,activity_proxy,parking_meters_reporting,1.0,J
2021-01-09,marina,activity_proxy,parking_revenue_usd,2.5,J
2021-01-10,marina,activity_proxy,paid_sessions,1.0,J
2021-01-10,marina,activity_proxy,parking_meters_reporting,1.0,J
2021-01-10,marina,activity_proxy,parking_revenue_usd,2.5,J
2021-01-11,city_center,activity_proxy,paid_sessions,1.0,J
2021-01-11,city_center,activity_proxy,parking_meters_reporting,1.0,J
2021-01-11,city_center,activity_proxy,parking_revenue_usd,1.25,J
2021-01-11,gaslamp,activity_proxy,paid_sessions,1.0,J
2021-01-11,gaslamp,activity_proxy,parking_meters_reporting,1.0,J
2021-01-11,gaslamp,activity_proxy,parking_revenue_usd,2.5,J
2021-01-12,marina,activity_proxy,paid_sessions,2.0,J
2021-01-12,marina,activity_proxy,parking_meters_reporting,2.0,J
2021-01-12,marina,activity_proxy,parking_revenue_usd,2.85,J
2021-01-13,gaslamp,activity_proxy,paid_sessions,1.0,J
2021-01-13,gaslamp,activity_proxy,parking_meters_reporting,1.0,J
2021-01-13,gaslamp,activity_proxy,parking_revenue_usd,2.5,J
2021-01-17,east_village,activity_proxy,paid_sessions,1.0,J
2021-01-17,east_village,activity_proxy,parking_meters_reporting,1.0,J
2021-01-17,east_village,activity_proxy,parking_revenue_usd,0.75,J
2021-01-17,gaslamp,activity_proxy,paid_sessions,1.0,J
2021-01-17,gaslamp,activity_proxy,parking_meters_reporting,1.0,J
2021-01-17,gaslamp,activity_proxy,parking_revenue_usd,2.5,J
2021-01-22,east_village,activity_proxy,paid_sessions,1.0,J
2021-01-22,east_village,activity_proxy,parking_meters_reporting,1.0,J
2021-01-22,east_village,activity_proxy,parking_revenue_usd,0.25,J
2021-01-22,marina,activity_proxy,paid_sessions,2.0,J
2021-01-22,marina,activity_proxy,parking_meters_reporting,1.0,J
2021-01-22,marina,activity_proxy,parking_revenue_usd,5.0,J
2021-01-23,east_village,activity_proxy,paid_sessions,6.0,J
2021-01-23,east_village,activity_proxy,parking_meters_reporting,4.0,J
2021-01-23,east_village,activity_proxy,parking_revenue_usd,5.85,J
2021-01-23,marina,activity_proxy,paid_sessions,1.0,J
2021-01-23,marina,activity_proxy,parking_meters_reporting,1.0,J
2021-01-23,marina,activity_proxy,parking_revenue_usd,2.5,J
2021-01-24,east_village,activity_proxy,paid_sessions,1.0,J
2021-01-24,east_village,activity_proxy,parking_meters_reporting,1.0,J
2021-01-24,east_village,activity_proxy,parking_revenue_usd,2.5,J
2021-01-25,east_village,activity_proxy,paid_sessions,5.0,J
2021-01-25,east_village,activity_proxy,parking_meters_reporting,4.0,J
2021-01-25,east_village,activity_proxy,parking_revenue_usd,6.25,J
2021-01-25,marina,activity_proxy,paid_sessions,1.0,J
2021-01-25,marina,activity_proxy,parking_meters_reporting,1.0,J
2021-01-25,marina,activity_proxy,parking_revenue_usd,0.75,J
2021-01-26,city_center,activity_proxy,paid_sessions,174.0,J
2021-01-26,city_center,activity_proxy,parking_meters_reporting,78.0,J
2021-01-26,city_center,activity_proxy,parking_revenue_usd,165.70000000000002,J
2021-01-26,columbia,activity_proxy,paid_sessions,33.0,J
2021-01-26,columbia,activity_proxy,parking_meters_reporting,20.0,J
2021-01-26,columbia,activity_proxy,parking_revenue_usd,41.3,J
2021-01-26,cortez,activity_proxy,paid_sessions,78.0,J
2021-01-26,cortez,activity_proxy,parking_meters_reporting,40.0,J
2021-01-26,cortez,activity_proxy,parking_revenue_usd,76.72,J
2021-01-26,east_village,activity_proxy,paid_sessions,647.0,J
2021-01-26,east_village,activity_proxy,parking_meters_reporting,253.0,J
2021-01-26,east_village,activity_proxy,parking_revenue_usd,873.98,J
2021-01-26,gaslamp,activity_proxy,paid_sessions,98.0,J
2021-01-26,gaslamp,activity_proxy,parking_meters_reporting,47.0,J
2021-01-26,gaslamp,activity_proxy,parking_revenue_usd,169.25,J
2021-01-26,marina,activity_proxy,paid_sessions,129.0,J
2021-01-26,marina,activity_proxy,parking_meters_reporting,52.0,J
2021-01-26,marina,activity_proxy,parking_revenue_usd,201.38,J
2021-01-27,city_center,activity_proxy,paid_sessions,706.0,J
2021-01-27,city_center,activity_proxy,parking_meters_reporting,194.0,J
2021-01-27,city_center,activity_proxy,parking_revenue_usd,800.03,J
2021-01-27,columbia,activity_proxy,paid_sessions,285.0,J
2021-01-27,columbia,activity_proxy,parking_meters_reporting,63.0,J
2021-01-27,columbia,activity_proxy,parking_revenue_usd,376.15000000000003,J
2021-01-27,cortez,activity_proxy,paid_sessions,657.0,J
2021-01-27,cortez,activity_proxy,parking_meters_reporting,228.0,J
2021-01-27,cortez,activity_proxy,parking_revenue_usd,708.64,J
2021-01-27,east_village,activity_proxy,paid_sessions,1915.0,J
2021-01-27,east_village,activity_proxy,parking_meters_reporting,560.0,J
2021-01-27,east_village,activity_proxy,parking_revenue_usd,2743.9500000000003,J
2021-01-27,gaslamp,activity_proxy,paid_sessions,539.0,J
2021-01-27,gaslamp,activity_proxy,parking_meters_reporting,147.0,J
2021-01-27,gaslamp,activity_proxy,parking_revenue_usd,683.81,J
2021-01-27,marina,activity_proxy,paid_sessions,852.0,J
2021-01-27,marina,activity_proxy,parking_meters_reporting,154.0,J
2021-01-27,marina,activity_proxy,parking_revenue_usd,1574.19,J
2021-01-28,city_center,activity_proxy,paid_sessions,665.0,J
2021-01-28,city_center,activity_proxy,parking_meters_reporting,197.0,J
2021-01-28,city_center,activity_proxy,parking_revenue_usd,744.0,J
2021-01-28,columbia,activity_proxy,paid_sessions,289.0,J
2021-01-28,columbia,activity_proxy,parking_meters_reporting,75.0,J
2021-01-28,columbia,activity_proxy,parking_revenue_usd,437.0,J
2021-01-28,cortez,activity_proxy,paid_sessions,668.0,J
2021-01-28,cortez,activity_proxy,parking_meters_reporting,223.0,J
2021-01-28,cortez,activity_proxy,parking_revenue_usd,737.9499999999999,J
2021-01-28,east_village,activity_proxy,paid_sessions,1802.0,J
2021-01-28,east_village,activity_proxy,parking_meters_reporting,548.0,J
2021-01-28,east_village,activity_proxy,parking_revenue_usd,2651.0400000000004,J
2021-01-28,gaslamp,activity_proxy,paid_sessions,508.0,J
2021-01-28,gaslamp,activity_proxy,parking_meters_reporting,125.0,J
2021-01-28,gaslamp,activity_proxy,parking_revenue_usd,594.0999999999999,J
2021-01-28,marina,activity_proxy,paid_sessions,854.0,J
2021-01-28,marina,activity_proxy,parking_meters_reporting,154.0,J
2021-01-28,marina,activity_proxy,parking_revenue_usd,1594.44,J
2021-01-29,city_center,activity_proxy,paid_sessions,673.0,J
2021-01-29,city_center,activity_proxy,parking_meters_reporting,206.0,J
2021-01-29,city_center,activity_proxy,parking_revenue_usd,793.72,J
